n,p,m,m_reduzido,removidas,tempo_ms
100,0.01,47,47,0,0.004
100,0.05,223,184,39,0.047
100,0.2,959,208,751,0.095
200,0.01,201,199,2,0.017
200,0.05,959,577,382,0.203
200,0.2,3891,477,3414,0.480
400,0.01,821,782,39,0.088
400,0.05,3954,1324,2630,1.164
400,0.2,15814,882,14932,3.142
800,0.01,3158,2552,606,1.035
800,0.05,15757,2690,13067,7.060
800,0.2,63539,1886,61653,17.059
1600,0.01,12712,6756,5956,12.425
1600,0.05,63826,5715,58111,41.252
1600,0.2,255386,3822,251564,96.210
3200,0.01,50938,15165,35773,93.634
3200,0.05,256244,11468,244776,233.049
3200,0.2,1023375,7569,1015806,658.214
